sample_id,label,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,from_project,type_class,type_innerclass,type_interface
4432196,1,3,12,1,0,54,0,0,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,0,0,0,44,6,0,0,0,0,0,0,6,0,6,0,0,0,0,21,1,0,1,1,0,0
7391055,1,3,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,1,0,1,1,0,0
4687786,1,6,28,1,16,14,0,0,17,0,17,0,0,0,18,0,0,0,8,1,1,1,0,6,1,0,0,111,16,3,5,0,0,2,6,24,6,15,2,1,0,0,96,1,0,1,1,0,0
3797964,1,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,5,9,0,1,0,1,0
5339993,1,2,3,2,0,0,0,0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,10,1,0,1,1,0,0
7689561,1,2,29,1,3,0,0,0,9,0,8,0,0,1,9,0,0,0,5,0,0,5,0,0,5,0,0,67,20,0,16,0,8,5,6,13,11,8,2,0,0,0,28,0,0,1,1,0,0
5589404,1,6,36,1,13,43,0,0,22,1,20,0,2,0,22,0,0,0,7,0,0,0,7,0,0,0,7,129,23,0,13,0,2,26,26,30,29,12,2,0,0,0,128,1025,0,1,1,0,0
8968865,1,1,3,1,0,0,0,0,3,0,1,0,0,2,3,0,0,0,3,0,0,0,0,3,0,0,0,19,1,0,0,0,0,1,0,8,0,3,0,0,1,0,26,1,0,1,1,0,0
6603072,1,2,8,3,0,20,0,0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,4,0,4,0,4,0,0,0,0,35,1,0,1,1,0,0
7134420,1,3,8,1,3,0,0,0,5,0,4,0,0,1,5,0,0,0,1,0,0,1,0,0,1,0,2,21,6,0,3,0,0,2,0,2,2,2,1,0,0,0,38,0,0,1,1,0,0
